Skewness,Crest_Factor,Kurtosis,RMS,Power,P2Pamp,Periodicity,Noise,Broken_bars-1x,Broken_bars-2x,Broken_bars-3x,Eccentricity-1x,Eccentricity-3x,Eccentricity-5x,cage_winding-3x,Inner_race-1x,Outer_race-1x,bearing_cage-3x,BPF-1x,batch_type,Load
-0.0004,873.7106,1.3515,1.0696,1.1441,3.1417,2.9964,1.0696379926651947,54.84225279465625,47.30141037740227,43.604250394033095,13.228720546662174,14.961739511009695,15.731719030778311,35.4856637768704,46.40103671388055,44.309753754783586,58.02755459170171,46.389562229782904,healthy,05
-0.0004,873.7106,1.3515,1.0696,1.1441,3.1417,2.9964,1.0696379926651947,55.060454698557784,47.59337012063845,43.94254075825832,8.257053334918217,10.495184171937975,13.006269062027062,34.37619393084901,46.67310752039409,44.64521384815727,58.14642144882151,47.44057103450464,healthy,05
0.0024,1251.0168,1.3565,1.0714,1.1479,3.1708,2.9964,1.0713993444814538,54.79262174093514,47.24803460205855,43.47102514012494,17.38178287583431,18.843126387951926,18.817638019913545,33.37434238712436,46.22322540559679,44.09329366211148,57.882879782071626,46.36952716422455,healthy,05
0.0024,1251.0168,1.3565,1.0714,1.1479,3.1708,2.9964,1.0713993444814538,54.686446180638924,47.18731953115979,43.5377575949517,9.227803763901656,12.473510043735551,14.018507857954702,36.35929322346763,46.219385187893096,44.07436713717965,57.85294928783351,47.00169256563032,healthy,05
0.0024,1251.0168,1.3565,1.0714,1.1479,3.1708,2.9964,1.0713993444814538,54.90118677994212,47.42075321540314,43.68354542844563,13.47067895024394,13.956700141157857,16.906955849761523,36.79687307741371,46.43634174872551,44.292611898473325,58.038453870646556,45.59243257504063,healthy,05
0.0021,924.374,1.3525,1.0677,1.14,3.1291,2.9964,1.0677283019928643,54.82229933306693,47.32372027595369,43.48169507047791,12.855049290948518,11.797521207921193,12.553001304434485,38.52368781416483,46.41883823203727,44.06127302291556,57.96045500381274,45.53688289052916,healthy,05
0.0021,924.374,1.3525,1.0677,1.14,3.1291,2.9964,1.0677283019928643,54.685521749039076,47.15935583557531,43.328758598334815,11.312434911626568,11.677481522036341,14.267800832380413,37.54338094093518,46.31100725290777,43.947532789053106,57.84631762019309,46.2128252233901,healthy,05
0.0021,924.374,1.3525,1.0677,1.14,3.1291,2.9964,1.0677283019928643,54.95907581059969,47.31242637358883,43.40059901608606,20.81612958370333,20.839177691699568,22.846136987958545,35.54279849286467,46.3925755017431,43.990341680479645,58.0610584004744,44.80971500246497,healthy,05
0.0002,846.1553,1.3548,1.0719,1.149,3.1667,2.9964,1.0719134598282114,54.63758749246804,47.17000279806229,43.56744540628229,6.819135821557445,7.738584095261612,14.686453986236536,34.0146822723475,46.28348367113558,44.03972392352803,57.77917393386775,47.246442923053415,healthy,05
0.0002,846.1553,1.3548,1.0719,1.149,3.1667,2.9964,1.0719134598282114,54.57015563280998,46.99754391911156,43.254688425139534,18.615631605148238,19.908502772287342,19.68319124227456,31.391409266433886,46.07612541972042,43.87199778184283,57.67185654014664,47.011198639564526,healthy,05
0.0002,846.1553,1.3548,1.0719,1.149,3.1667,2.9964,1.0719134598282114,54.73569783026578,47.25598071025281,43.727340492234234,13.29111465015545,15.587267542965886,17.304509969890802,34.744068036176195,46.40642709972579,44.22436151435916,57.85518105194207,46.07884759333643,healthy,05
0.0021,1037.9535,1.3545,1.0677,1.14,3.1416,2.9964,1.0676834428846917,54.69711244378149,47.1983633087423,43.395502810070035,13.808269829215767,15.977043415307138,17.65547176932595,36.19400933974073,46.31789447185428,44.024096386875186,57.82472296413235,45.1079964744728,healthy,05
0.0021,1037.9535,1.3545,1.0677,1.14,3.1416,2.9964,1.0676834428846917,54.58795500379992,47.0229289969477,43.25791847061429,16.561646102317546,18.832798247263305,19.25925054758308,33.31482225112107,46.12687771005652,43.87380434063829,57.72608339959308,46.614914825807915,healthy,05
0.0021,1037.9535,1.3545,1.0677,1.14,3.1416,2.9964,1.0676834428846917,54.84299769791424,47.43607603304558,43.67715860761456,12.440042685819396,12.736788152068167,11.121513983094081,35.73243504463626,46.41307446327568,44.354207153536805,57.96321491847067,46.88307432129583,healthy,05
0.0014,821.6364,1.3534,1.0716,1.1484,3.1667,2.9964,1.0716173060153893,54.698619307346775,47.04717875362477,43.08211494427326,20.847150230998007,20.867391020585977,22.75319503309855,35.88287676543198,46.04355083558379,43.786833243612925,57.83721199792254,45.88949512396624,healthy,05
0.0014,821.6364,1.3534,1.0716,1.1484,3.1667,2.9964,1.0716173060153893,54.61226340221703,47.07451726325482,43.32646557756988,11.659585064007732,10.26399901752442,14.42783584315416,38.72343581926654,46.10666287182099,43.9707932562296,57.750821743643804,47.17241203830782,healthy,05
0.0014,821.6364,1.3534,1.0716,1.1484,3.1667,2.9964,1.0716173060153893,54.86298768648305,47.35564812998188,43.66143927014538,11.34856702815406,11.648551069787349,14.452980570331194,37.07451266436964,46.305017368502476,44.219350133889336,57.934702411776,47.368600117718465,healthy,05
0.0007,841.4464,1.357,1.0667,1.1379,3.1625,2.9964,1.0667203839656263,54.87772629162977,47.45271451834785,43.70823543702163,11.717525776845715,13.78172838204222,16.234366718926022,35.48245727439766,46.54015510093771,44.376993231218854,58.07321644708412,46.350123244081146,healthy,05
0.0007,841.4464,1.357,1.0667,1.1379,3.1625,2.9964,1.0667203839656263,54.8133128484254,47.316329347699615,43.702329854230655,5.486732165243707,8.01393151909894,14.65962252654868,34.11310670638383,46.47413069609979,44.23490150575479,57.94086231074307,48.02319712730928,healthy,05
0.0007,841.4464,1.357,1.0667,1.1379,3.1625,2.9964,1.0667203839656263,55.044225143126994,47.52101067956376,43.875712284056746,18.73822992905413,20.494550087296815,19.37169012859306,32.01618411623195,46.62918296680975,44.4785984300965,58.140016380424136,47.18130288107906,healthy,05
0.003,1125.9713,1.3527,1.07,1.145,3.1583,2.9964,1.0700449450657925,55.28966504150253,47.64522156154783,44.10258322133234,11.943737027626371,12.325979295145888,13.682723401233282,36.49672368081967,46.8101445867981,44.60050315529054,58.39089573983195,46.5779986505687,healthy,05
